V1	V8_1_1	V8_1_2	Fraction
MA1508.1_IKZF1	15	0.000105	0.75
MA1511.2_KLF10	4	0.00155	0.2
MA1512.1_KLF11	4	0.0128	0.2
MA1513.1_KLF15	1	0.00663	0.05
MA1514.1_KLF17	2	0.0268	0.1
MA1515.1_KLF2	4	0.00448	0.2
MA1516.1_KLF3	2	0.0179	0.1
MA1517.1_KLF6	3	0.00609	0.15
MA1520.1_MAF	1	0.00894	0.05
MA1521.1_MAFA	1	0.00749	0.05
MA1522.1_MAZ	5	0.00292	0.25
MA1523.1_MSANTD3	2	0.00777	0.1
MA1524.2_Msgn1	1	0.019	0.05
MA1525.2_NFATC4	1	0.0137	0.05
MA1529.1_NHLH2	3	0.0103	0.15
MA1532.2_NR1D2	1	0.00875	0.05
MA1533.1_NR1I2	1	0.018	0.05
MA1537.1_NR2F1	1	0.0202	0.05
MA1540.2_NR5A1	3	0.000834	0.15
MA1541.1_NR6A1	1	0.0451	0.05
MA1542.1_OSR1	2	0.00455	0.1
MA1548.1_PLAGL2	1	0.0249	0.05
MA1554.1_RFX7	1	0.0479	0.05
MA1558.1_SNAI1	1	0.0323	0.05
MA1559.1_SNAI3	1	0.0333	0.05
MA1562.1_SOX14	2	0.0227	0.1
MA1563.2_SOX18	1	0.0395	0.05
MA1564.1_SP9	5	0.004	0.25
MA1565.1_TBX18	1	0.0333	0.05
MA1566.2_TBX3	1	0.00786	0.05
MA1567.2_Tbx6	2	0.00935	0.1
MA1568.1_TCF21	1	0.0284	0.05
MA1570.1_TFAP4	1	0.0171	0.05
MA1573.2_Thap11	4	0.00169	0.2
MA1575.1_THRB	3	0.00831	0.15
MA1578.1_VEZF1	1	0.00309	0.05
MA1579.1_ZBTB26	1	0.0136	0.05
MA1580.1_ZBTB32	1	0.0291	0.05
MA1581.1_ZBTB6	4	0.00126	0.2
MA1584.1_ZIC5	4	0.00583	0.2
MA1585.1_ZKSCAN1	1	0.0333	0.05
MA1587.1_ZNF135	4	0.00299	0.2
MA1589.1_ZNF140	3	0.0202	0.15
MA1592.1_ZNF274	2	0.0147	0.1
MA1596.1_ZNF460	7	0.0024	0.35
MA1597.1_ZNF528	1	0.0256	0.05
MA1599.1_ZNF682	5	0.00738	0.25
MA1600.1_ZNF684	1	0.0139	0.05
MA1601.2_ZNF75D	3	0.0175	0.15
MA1603.1_Dmrt1	4	0.000424	0.2
MA1604.1_Ebf2	2	0.0106	0.1
MA1608.1_Isl1	2	0.00435	0.1
MA1615.1_Plagl1	7	0.0032	0.35
MA1616.1_Prdm15	1	0.0249	0.05
MA1618.1_Ptf1a	2	0.00277	0.1
MA1619.1_Ptf1A	4	0.00276	0.2
MA1620.1_Ptf1A	2	0.00635	0.1
MA1621.1_Rbpjl	2	0.00883	0.1
MA1623.1_Stat2	5	0.00727	0.25
MA1625.1_Stat5b	1	0.0152	0.05
MA1627.1_Wt1	7	0.00194	0.35
MA1628.1_Zic1::Zic2	2	0.000791	0.1
MA1629.1_Zic2	7	0.000849	0.35
MA1630.2_ZNF281	14	0.000968	0.7
MA1631.1_ASCL1	3	0.00356	0.15
MA1633.2_BACH1	1	0.00988	0.05
MA1634.1_BATF	1	0.0139	0.05
MA1635.1_BHLHE22	7	0.00323	0.35
MA1637.1_EBF3	3	0.009	0.15
MA1638.1_HAND2	2	0.0242	0.1
MA1641.1_MYF5	4	0.00243	0.2
MA1642.1_NEUROG2	1	0.0499	0.05
MA1643.1_NFIB	2	0.0362	0.1
MA1644.1_NFYC	1	0.00383	0.05
MA1645.1_NKX2-2	2	0.00165	0.1
MA1646.1_OSR2	4	0.000807	0.2
MA1648.1_TCF12	1	0.00149	0.05
MA1649.1_ZBTB12	3	0.036	0.15
MA1650.1_ZBTB14	1	0.0133	0.05
MA1651.1_ZFP42	2	0.0141	0.1
MA1652.1_ZKSCAN5	16	0.000455	0.8
MA1653.1_ZNF148	8	0.00287	0.4
MA1654.1_ZNF16	4	0.011	0.2
MA1655.1_ZNF341	3	0.00178	0.15
MA1656.1_ZNF449	4	0.0114	0.2
MA1657.1_ZNF652	1	0.00795	0.05
MA1707.1_DMRTA1	1	0.0459	0.05
MA1708.1_ETV7	14	0.000879	0.7
MA1709.1_ZIM3	2	0.027	0.1
MA1710.1_ZNF257	5	0.00116	0.25
MA1711.1_ZNF343	3	0.0146	0.15
MA1712.1_ZNF454	3	0.00377	0.15
MA1714.1_ZNF675	3	0.0023	0.15
MA1715.1_ZNF707	7	0.000113	0.35
MA1716.1_ZNF76	3	0.00924	0.15
MA1719.1_ZNF816	4	0.00869	0.2
MA1721.1_ZNF93	5	0.00684	0.25
MA1722.1_ZSCAN31	2	0.00346	0.1
MA1723.1_PRDM9	7	0.000735	0.35
MA1724.1_Rfx6	3	0.00193	0.15
MA1725.1_ZNF189	4	0.00512	0.2
MA1726.1_ZNF331	1	0.0181	0.05
MA1727.1_ZNF417	1	0.0242	0.05
MA1729.1_ZNF680	3	0.00265	0.15
MA1730.1_ZNF708	6	0.00236	0.3
MA1731.1_ZNF768	4	0.000871	0.2
MA1928.1_BNC2	1	0.00132	0.05
MA1929.1_CTCF	4	0.000538	0.2
MA1930.1_CTCF	5	9.55e-05	0.25
MA1931.1_ELK1::HOXA1	2	0.0058	0.1
MA1932.1_ELK1::HOXB13	1	0.0337	0.05
MA1933.1_ELK1::SREBF2	3	0.00479	0.15
MA1934.1_ERF::FIGLA	5	0.026	0.25
MA1935.1_ERF::FOXI1	11	0.000748	0.55
MA1936.1_ERF::FOXO1	10	0.00188	0.5
MA1938.1_ERF::NHLH1	3	0.00986	0.15
MA1939.1_ERF::SREBF2	1	0.0266	0.05
MA1940.1_ETV2::DRGX	1	0.0143	0.05
MA1941.1_ETV2::FIGLA	5	0.0204	0.25
MA1942.1_ETV2::FOXI1	12	0.000225	0.6
MA1944.1_ETV5::DRGX	2	0.0157	0.1
MA1945.1_ETV5::FIGLA	4	0.02	0.2
MA1946.1_ETV5::FOXI1	5	0.000159	0.25
MA1947.1_ETV5::FOXO1	7	0.000773	0.35
MA1950.1_FLI1::FOXI1	11	0.000265	0.55
MA1952.1_FOXJ2::ELF1	12	0.000416	0.6
MA1953.1_FOXO1::ELF1	10	0.00102	0.5
MA1954.1_FOXO1::ELK1	10	0.00217	0.5
MA1955.1_FOXO1::ELK3	7	0.00122	0.35
MA1956.1_FOXO1::FLI1	7	0.00913	0.35
MA1957.1_HOXB2::ELK1	5	0.0156	0.25
MA1958.1_HOXD12::ELK1	1	0.0262	0.05
MA1959.1_KLF7	5	0.00347	0.25
MA1960.1_MGA::EVX1	2	0.0239	0.1
MA1961.1_PATZ1	5	0.00106	0.25
MA1962.1_POU2F1::SOX2	1	0.0394	0.05
MA1964.1_SMAD2	2	0.00821	0.1
MA1965.1_SP5	7	0.00408	0.35
MA1966.1_TFAP4::ETV1	5	0.0074	0.25
MA1967.1_TFAP4::FLI1	3	0.00487	0.15
MA1969.1_THRA	1	0.0407	0.05
MA1970.1_TRPS1	2	0.0114	0.1
MA1972.1_ZFP14	5	0.00311	0.25
MA1973.1_ZKSCAN3	2	0.00374	0.1
MA1975.1_ZNF214	1	0.0109	0.05
MA1976.1_ZNF320	4	0.00806	0.2
MA1977.1_ZNF324	3	0.00604	0.15
MA1979.1_ZNF416	5	0.00666	0.25
MA1980.1_ZNF418	3	0.00109	0.15
MA1981.1_ZNF530	7	0.00358	0.35
MA1982.1_ZNF574	1	0.0112	0.05
MA1983.1_ZNF582	2	0.0225	0.1
MA1984.1_ZNF667	2	0.00381	0.1
MA1986.1_ZNF692	6	0.00277	0.3
MA1987.1_ZNF701	5	0.00321	0.25
MA1988.1_Atf3	1	0.00739	0.05
MA1989.1_Bcl11B	5	0.0244	0.25
