logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Family	Class
-1.043955777	1.953219978	0.001636254	0.00656991	LTR81:Gypsy:LTR	3.778334259	1.935770508	AL_RNA_TCDD_M	TCDD	M	LTR81	Gypsy	LTR
-0.745435613	4.746384122	0.001642477	0.00656991	RMER20C_Mm:ERVK:LTR	27.76333164	14.57486359	AL_RNA_TCDD_M	TCDD	M	RMER20C_Mm	ERVK	LTR
-1.542017107	0.247889831	0.001652908	0.006585905	L1M3d:L1:LINE	0.898610036	0.397808035	AL_RNA_TCDD_M	TCDD	M	L1M3d	L1	LINE
-0.648963731	7.082773989	0.00166516	0.006587249	L1MD2:L1:LINE	148.6714042	92.17668311	AL_RNA_TCDD_M	TCDD	M	L1MD2	L1	LINE
-0.735775404	4.622044866	0.001666111	0.006587249	RLTR23:ERV1:LTR	27.44074807	15.76160265	AL_RNA_TCDD_M	TCDD	M	RLTR23	ERV1	LTR
-1.277193841	1.876691994	0.001688711	0.006650923	ERV3-16A3_LTR:ERVL:LTR	3.77876299	1.538004151	AL_RNA_TCDD_M	TCDD	M	ERV3-16A3_LTR	ERVL	LTR
-0.838048428	5.418792691	0.001716247	0.006707774	RLTR12A:ERVK:LTR	44.46591127	24.60234605	AL_RNA_TCDD_M	TCDD	M	RLTR12A	ERVK	LTR
-1.141360687	6.038001426	0.001710986	0.006707774	U4:snRNA:snRNA	69.88509843	34.07878222	AL_RNA_TCDD_M	TCDD	M	U4	snRNA	snRNA
-0.680135819	12.41087373	0.001723974	0.006712355	PB1D10:Alu:SINE	5774.452861	3882.700493	AL_RNA_TCDD_M	TCDD	M	PB1D10	Alu	SINE
-0.793569592	4.979106082	0.001756782	0.006721559	Charlie4a:hAT-Charlie:DNA	31.51456976	18.46291741	AL_RNA_TCDD_M	TCDD	M	Charlie4a	hAT-Charlie	DNA
