logFC	logCPM	PValue	FDR	TE	Control_CPM_median	Exposure_CPM_median	group	Type	Sex	Subfamily	Class
-0.090052226	3.077298066	0.270815927	0.411982523	Charlie14a	8.294413937	7.892987194	ZB_ATAC_As_F	As	F	Charlie14a	DNA
-0.057509433	5.317392665	0.271273765	0.411982523	RLTR47	39.70615158	38.96881945	ZB_ATAC_As_F	As	F	RLTR47	LTR
-0.034325523	6.478979753	0.27118967	0.411982523	RLTR9A3B	88.9049769	86.24291715	ZB_ATAC_As_F	As	F	RLTR9A3B	LTR
0.025086103	7.12352624	0.272883772	0.413393032	RLTR28B	138.4341982	141.6558207	ZB_ATAC_As_F	As	F	RLTR28B	LTR
-0.05267231	5.301843559	0.274580486	0.414839166	RMER16B	39.59875397	37.77501915	ZB_ATAC_As_F	As	F	RMER16B	LTR
0.023599913	8.295090992	0.274396596	0.414839166	Tigger1	313.4034871	321.2998802	ZB_ATAC_As_F	As	F	Tigger1	DNA
0.050281897	4.995689963	0.276611593	0.417343807	Kanga1a	31.71663733	33.37333088	ZB_ATAC_As_F	As	F	Kanga1a	DNA
0.016415904	8.874377234	0.278396329	0.419470479	ORR1D2-int	468.5948057	475.7171148	ZB_ATAC_As_F	As	F	ORR1D2-int	LTR
-0.082139281	3.519745687	0.2801795	0.42045729	LTR81	11.30338142	10.49301133	ZB_ATAC_As_F	As	F	LTR81	LTR
0.045396362	4.751988288	0.279998422	0.42045729	MER135	26.89220103	27.68177769	ZB_ATAC_As_F	As	F	MER135	DNA
-0.034402476	7.074988692	0.280074847	0.42045729	RLTR13D1	134.4698839	132.400785	ZB_ATAC_As_F	As	F	RLTR13D1	LTR
-0.016270299	11.63469745	0.281217924	0.421094765	L1VL2	3178.630923	3110.394636	ZB_ATAC_As_F	As	F	L1VL2	LINE
0.040119573	6.988355555	0.281357594	0.421094765	RLTR1A2_MM	127.1947398	127.1969897	ZB_ATAC_As_F	As	F	RLTR1A2_MM	LTR
-0.012122203	13.41104337	0.283759572	0.424121927	Lx9	10871.26026	10845.71638	ZB_ATAC_As_F	As	F	Lx9	LINE
-0.0318515	6.323304784	0.286155138	0.426561926	MER45C	80.7647997	78.97541351	ZB_ATAC_As_F	As	F	MER45C	DNA
-0.023455931	7.660914324	0.286005671	0.426561926	MLTR18C_MM	201.9371388	197.5382697	ZB_ATAC_As_F	As	F	MLTR18C_MM	LTR
0.073677115	3.735962306	0.287395207	0.427840002	Charlie26a	13.08497565	13.88886406	ZB_ATAC_As_F	As	F	Charlie26a	DNA
0.033542311	8.768882875	0.288715002	0.429233207	IAPLTR3-int	435.6288685	444.0614229	ZB_ATAC_As_F	As	F	IAPLTR3-int	LTR
-0.157330028	1.49698461	0.294068459	0.436611603	MER76-int	2.700414052	2.297909836	ZB_ATAC_As_F	As	F	MER76-int	LTR
0.064490072	4.137958367	0.298348845	0.441282684	Charlie4	17.19787782	18.98500127	ZB_ATAC_As_F	As	F	Charlie4	DNA
-0.038246969	6.941242648	0.298398666	0.441282684	RLTR19B	124.2068899	119.2933863	ZB_ATAC_As_F	As	F	RLTR19B	LTR
0.01384052	9.342810948	0.297916854	0.441282684	RMER12C	649.8398785	654.268304	ZB_ATAC_As_F	As	F	RMER12C	LTR
0.03399698	6.193578051	0.298913438	0.441460005	Tigger17	73.35705514	72.73455671	ZB_ATAC_As_F	As	F	Tigger17	DNA
0.042342311	4.834624284	0.301200325	0.444250612	Charlie15a	28.08106223	30.19069499	ZB_ATAC_As_F	As	F	Charlie15a	DNA
0.030820107	5.715450781	0.305279432	0.449085086	Charlie19a	51.99091256	53.8645754	ZB_ATAC_As_F	As	F	Charlie19a	DNA
-0.035405773	6.086932636	0.305281454	0.449085086	RLTR9A2	68.19785576	66.14668486	ZB_ATAC_As_F	As	F	RLTR9A2	LTR
0.06075362	4.081754256	0.306116913	0.44972235	Mam_R4	16.68331606	17.78427666	ZB_ATAC_As_F	As	F	Mam_R4	LINE
-0.034831464	6.01898019	0.306827737	0.450175079	Tigger6b	64.61000456	64.5799667	ZB_ATAC_As_F	As	F	Tigger6b	DNA
-0.127848615	2.041109378	0.308536915	0.450907543	LTR108b_Mam	3.899828533	3.597288971	ZB_ATAC_As_F	As	F	LTR108b_Mam	LTR
0.042816927	5.632561637	0.308228432	0.450907543	LTRIS3	48.98834399	50.16221457	ZB_ATAC_As_F	As	F	LTRIS3	LTR
-0.013055749	9.730148417	0.307906552	0.450907543	ORR1A4-int	852.4732266	839.8502244	ZB_ATAC_As_F	As	F	ORR1A4-int	LTR
-0.03842533	5.470605398	0.309187524	0.451030255	LTR52	43.88076849	42.96772152	ZB_ATAC_As_F	As	F	LTR52	LTR
-0.090668789	2.933638912	0.309427733	0.451030255	UCON10	7.598677726	6.9953685	ZB_ATAC_As_F	As	F	UCON10	DNA
-0.138759399	1.651078616	0.311717682	0.453186434	MER50	3.000892984	2.398327716	ZB_ATAC_As_F	As	F	MER50	LTR
-0.011801209	9.484881561	0.311422221	0.453186434	RLTR17	716.3688196	710.128094	ZB_ATAC_As_F	As	F	RLTR17	LTR
0.018726214	9.226230803	0.315999192	0.457983961	ETnERV2-int	596.8264105	611.5968836	ZB_ATAC_As_F	As	F	ETnERV2-int	LTR
0.028291692	6.903087882	0.315795719	0.457983961	IAPLTR4	119.1066525	121.2621435	ZB_ATAC_As_F	As	F	IAPLTR4	LTR
0.065045514	4.512439944	0.316656173	0.457983961	MER110	22.29349436	23.77885532	ZB_ATAC_As_F	As	F	MER110	LTR
0.017626683	8.853897157	0.316446353	0.457983961	RLTR25A	460.7659705	469.88088	ZB_ATAC_As_F	As	F	RLTR25A	LTR
-0.014093228	10.91737932	0.318089647	0.458099828	Lx10	1932.27646	1912.260011	ZB_ATAC_As_F	As	F	Lx10	LINE
0.014551433	9.750731116	0.318375283	0.458099828	MER58A	860.4252909	867.4491542	ZB_ATAC_As_F	As	F	MER58A	DNA
-0.012151646	11.07390612	0.318128165	0.458099828	ORR1B2	2158.942742	2151.580727	ZB_ATAC_As_F	As	F	ORR1B2	LTR
-0.010792218	10.88094651	0.317226526	0.458099828	ORR1C1	1889.077571	1884.186834	ZB_ATAC_As_F	As	F	ORR1C1	LTR
-0.117815639	2.326404918	0.320950736	0.461211983	MamRep488	4.799788815	4.896886542	ZB_ATAC_As_F	As	F	MamRep488	DNA
-0.020408621	7.705422065	0.323773794	0.464671504	LTR67B	208.8449703	206.7636948	ZB_ATAC_As_F	As	F	LTR67B	LTR
0.198164908	0.432856154	0.326290082	0.46768245	L1M2a1	1.199619425	1.199175238	ZB_ATAC_As_F	As	F	L1M2a1	LINE
0.044211814	9.824114439	0.329998626	0.472392399	RLTR4_MM-int	904.2243566	940.860891	ZB_ATAC_As_F	As	F	RLTR4_MM-int	LTR
0.072499403	3.352959996	0.332497701	0.475361164	MER95	9.995821997	10.59670613	ZB_ATAC_As_F	As	F	MER95	LTR
-0.101032399	3.240903455	0.334044575	0.476591393	LTR108e_Mam	9.098872864	9.191985865	ZB_ATAC_As_F	As	F	LTR108e_Mam	LTR
0.018526093	8.556035393	0.334637069	0.476591393	MYSERV-int	375.1475643	379.661027	ZB_ATAC_As_F	As	F	MYSERV-int	LTR
0.04557334	4.862956817	0.334581298	0.476591393	RLTR46A	28.42625843	29.99066947	ZB_ATAC_As_F	As	F	RLTR46A	LTR
0.027667001	6.0641721	0.341737893	0.485599146	LTR37B	66.73460439	67.84535982	ZB_ATAC_As_F	As	F	LTR37B	LTR
0.033423301	5.817523637	0.341830526	0.485599146	RLTR20C	55.71203441	57.05711286	ZB_ATAC_As_F	As	F	RLTR20C	LTR
-0.055827483	3.977803222	0.344763632	0.489144341	FordPrefect_a	15.49320638	14.88795755	ZB_ATAC_As_F	As	F	FordPrefect_a	DNA
-0.014138402	9.873160335	0.345310114	0.489298742	RLTR28	938.9733037	936.5824051	ZB_ATAC_As_F	As	F	RLTR28	LTR
0.030228282	5.866673885	0.346840636	0.489605848	Charlie15b	58.0489512	59.05564476	ZB_ATAC_As_F	As	F	Charlie15b	DNA
-0.047279213	4.442539391	0.346512063	0.489605848	Kanga1b	21.69300571	21.28297376	ZB_ATAC_As_F	As	F	Kanga1b	DNA
0.040941695	5.123261439	0.349732638	0.493065686	MLT2E	34.07695247	35.88883687	ZB_ATAC_As_F	As	F	MLT2E	LTR
0.009454026	11.24862468	0.350894558	0.49408075	MTEb	2431.506171	2447.663805	ZB_ATAC_As_F	As	F	MTEb	LTR
-0.025242106	6.594255803	0.35218406	0.494650476	MLTR31D_MM	97.18305046	96.01458795	ZB_ATAC_As_F	As	F	MLTR31D_MM	LTR
-0.020576979	7.66399118	0.353133596	0.495361807	RLTR9A3	202.3067851	198.5398574	ZB_ATAC_As_F	As	F	RLTR9A3	LTR
0.015669609	12.61057664	0.353581447	0.495368493	B1_Mur2	6263.149515	6316.929227	ZB_ATAC_As_F	As	F	B1_Mur2	SINE
-0.078043196	3.623144976	0.356505324	0.498216191	MLT1G1-int	12.30320735	10.89099827	ZB_ATAC_As_F	As	F	MLT1G1-int	LTR
-0.016415056	9.542452911	0.357857282	0.499481201	RMER17C2	747.0228204	742.2026428	ZB_ATAC_As_F	As	F	RMER17C2	LTR
-0.018914106	7.587600689	0.359540672	0.501205076	ERVB5_1-I_MM-int	192.3195418	189.2474824	ZB_ATAC_As_F	As	F	ERVB5_1-I_MM-int	LTR
0.032443142	6.062504795	0.362401239	0.504563618	RLTR10D2	66.01426284	67.35542431	ZB_ATAC_As_F	As	F	RLTR10D2	LTR
-0.056073743	3.902192503	0.363659216	0.505131316	MamGypLTR2b	14.70660506	14.38720435	ZB_ATAC_As_F	As	F	MamGypLTR2b	LTR
0.02525651	6.927157884	0.36371262	0.505131316	MER67C	121.8607207	123.0187655	ZB_ATAC_As_F	As	F	MER67C	LTR
0.021543454	7.457630575	0.364338896	0.505373307	MER103C	175.2909815	178.4823216	ZB_ATAC_As_F	As	F	MER103C	DNA
0.025261637	6.492078758	0.365393052	0.506207475	MER63C	90.49625418	91.6714343	ZB_ATAC_As_F	As	F	MER63C	DNA
0.011342817	11.54012286	0.366192099	0.506686592	ID4_	2981.50754	2974.871725	ZB_ATAC_As_F	As	F	ID4_	SINE
0.03798587	5.209700258	0.367362756	0.507678073	Tigger18a	36.21087875	37.88819883	ZB_ATAC_As_F	As	F	Tigger18a	DNA
0.033197262	6.066474121	0.368738319	0.508949926	MLT1A0-int	67.01439267	69.73821148	ZB_ATAC_As_F	As	F	MLT1A0-int	LTR
0.015967154	7.976625991	0.371588079	0.512250891	MTEb-int	251.9920834	256.7936131	ZB_ATAC_As_F	As	F	MTEb-int	LTR
-0.017357267	9.89212046	0.3727324	0.513195595	IAPEY3-int	948.7529763	941.1790934	ZB_ATAC_As_F	As	F	IAPEY3-int	LTR
0.04991084	4.293008982	0.376182698	0.516406951	LTR16D2	19.41876659	20.69361692	ZB_ATAC_As_F	As	F	LTR16D2	LTR
0.038924044	5.006541765	0.376512328	0.516406951	LTR88b	32.00952597	32.78977547	ZB_ATAC_As_F	As	F	LTR88b	LTR
0.042244585	4.386895236	0.37737431	0.516406951	MER113A	20.61610119	21.98252933	ZB_ATAC_As_F	As	F	MER113A	DNA
-0.031678719	5.53163269	0.375655099	0.516406951	RLTR44E	46.12997022	42.9647557	ZB_ATAC_As_F	As	F	RLTR44E	LTR
